cookie,page_sequence
150155279.16773435,"7,7,7,7"
159667517.16773748,"13,13,13,13"
228614741.16773847,"12,12,12,12,15,15,16"
312147315.1677407,"8,8,8"
375889710.1677365,"14,14,14"
543861493.1677343,"7,7,7"
646713634.167734,"1,1,1,2,2"
646908601.167739,"11,11,11"
733662218.1677377,"9,9,9"
772678205.1675664,"10,10"
815826876.1677401,"9,9,9"
1047554553.1677305,"4,4,5,5,6"
1107674433.1677308,"1,1"
1142401265.1677425,"3,3,3"
1177133793.1677392,"2,2,2"
1229553359.1677363,"0,0,0"
1425516353.1677349,"9,9,9,9,9"
1679723980.1673963,"7,7,7,7"
1765494956.1677375,"1,1,1"
1769406634.1677349,"17,17"
2042132288.167297,"12,12,12,12,12,12,7"
2103982405.166581,"0,0,0,0,0"
